release_id,repository_name,predicted_probability,risk_tier,top_driver_1,top_driver_2,top_driver_3,recommendation_1,recommendation_2,recommendation_3
262457040,apache/airflow,0.4964789868966115,High,"open_bugs_at_release_repo_z (contribution=0.083): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",avg_time_to_merge_hours (contribution=0.005): Pull requests before this release merged unusually quickly or slowly on average.,distinct_contributors (contribution=0.003): The number of distinct people committing before this release is unusually high or low.,For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,Very fast merging paired with elevated risk may indicate reduced review scrutiny; consider a second reviewer pass on the highest-impact changes before shipping.,A low distinct-contributor count concentrates release risk on fewer people's work; consider an additional independent review pass.
269035834,apache/airflow,0.5171188875430642,High,"open_bugs_at_release_repo_z (contribution=0.081): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",first_time_contributor_count (contribution=0.033): This release involved an unusually high number of first-time contributors.,"first_time_contributor_share (contribution=0.019): Same signal as first_time_contributor_count, expressed as a share of all contributors.",For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk.",See first_time_contributor_count recommendation.
276315192,apache/airflow,0.5306467182195149,High,"open_bugs_at_release_repo_z (contribution=0.083): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",first_time_contributor_count (contribution=0.056): This release involved an unusually high number of first-time contributors.,"first_time_contributor_share (contribution=0.032): Same signal as first_time_contributor_count, expressed as a share of all contributors.",For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk.",See first_time_contributor_count recommendation.
276530798,apache/airflow,0.4846900834554303,High,"open_bugs_at_release_repo_z (contribution=0.081): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",avg_time_to_merge_hours (contribution=0.004): Pull requests before this release merged unusually quickly or slowly on average.,"median_time_to_merge_hours (contribution=0.002): Same signal as avg_time_to_merge_hours, less sensitive to a few outlier PRs.",For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,Very fast merging paired with elevated risk may indicate reduced review scrutiny; consider a second reviewer pass on the highest-impact changes before shipping.,See avg_time_to_merge_hours recommendation.
282931220,apache/airflow,0.5121538503901932,High,"open_bugs_at_release_repo_z (contribution=0.075): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",first_time_contributor_count (contribution=0.028): This release involved an unusually high number of first-time contributors.,"first_time_contributor_share (contribution=0.015): Same signal as first_time_contributor_count, expressed as a share of all contributors.",For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk.",See first_time_contributor_count recommendation.
287396789,apache/airflow,0.5038010492986383,High,"open_bugs_at_release_repo_z (contribution=0.073): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",first_time_contributor_count (contribution=0.015): This release involved an unusually high number of first-time contributors.,"first_time_contributor_share (contribution=0.010): Same signal as first_time_contributor_count, expressed as a share of all contributors.",For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk.",See first_time_contributor_count recommendation.
290595792,apache/airflow,0.5034500364997149,High,"open_bugs_at_release_repo_z (contribution=0.074): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.","first_time_contributor_share (contribution=0.018): Same signal as first_time_contributor_count, expressed as a share of all contributors.",first_time_contributor_count (contribution=0.016): This release involved an unusually high number of first-time contributors.,For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,See first_time_contributor_count recommendation.,"Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk."
295900925,apache/airflow,0.5076196629495906,High,"open_bugs_at_release_repo_z (contribution=0.063): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",first_time_contributor_count (contribution=0.023): This release involved an unusually high number of first-time contributors.,"first_time_contributor_share (contribution=0.011): Same signal as first_time_contributor_count, expressed as a share of all contributors.",For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk.",See first_time_contributor_count recommendation.
298892967,apache/airflow,0.49869549395009066,High,"open_bugs_at_release_repo_z (contribution=0.061): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",first_time_contributor_count (contribution=0.013): This release involved an unusually high number of first-time contributors.,distinct_contributors (contribution=0.007): The number of distinct people committing before this release is unusually high or low.,For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk.",A low distinct-contributor count concentrates release risk on fewer people's work; consider an additional independent review pass.
299977257,apache/airflow,0.4842676345410027,High,"open_bugs_at_release_repo_z (contribution=0.062): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",pct_merged (contribution=0.011): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,avg_time_to_merge_hours (contribution=0.004): Pull requests before this release merged unusually quickly or slowly on average.,For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.,Very fast merging paired with elevated risk may indicate reduced review scrutiny; consider a second reviewer pass on the highest-impact changes before shipping.
306141963,apache/airflow,0.5089742614809614,High,"open_bugs_at_release_repo_z (contribution=0.054): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",first_time_contributor_count (contribution=0.027): This release involved an unusually high number of first-time contributors.,"first_time_contributor_share (contribution=0.017): Same signal as first_time_contributor_count, expressed as a share of all contributors.",For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk.",See first_time_contributor_count recommendation.
312131648,apache/airflow,0.5016446835759316,High,"open_bugs_at_release_repo_z (contribution=0.058): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.","prior_releases_avg_bugs_repo_z (contribution=0.015): This repository's historical average post-release bug count (from releases whose own outcome was already known at this release's time), expressed relative to this repository's own typical level (repo-normalized, not a raw count).",first_time_contributor_count (contribution=0.007): This release involved an unusually high number of first-time contributors.,For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"Review whether recent releases in this repository have been trending toward more or fewer post-release bugs; a persistently high historical average may warrant a broader process review, not just extra scrutiny on this one release.","Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk."
313416734,apache/airflow,0.4926831882466445,High,"open_bugs_at_release_repo_z (contribution=0.058): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.","prior_releases_avg_bugs_repo_z (contribution=0.015): This repository's historical average post-release bug count (from releases whose own outcome was already known at this release's time), expressed relative to this repository's own typical level (repo-normalized, not a raw count).","first_time_contributor_share (contribution=0.011): Same signal as first_time_contributor_count, expressed as a share of all contributors.",For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"Review whether recent releases in this repository have been trending toward more or fewer post-release bugs; a persistently high historical average may warrant a broader process review, not just extra scrutiny on this one release.",See first_time_contributor_count recommendation.
331316417,apache/airflow,0.5490680337168176,High,first_time_contributor_count (contribution=0.097): This release involved an unusually high number of first-time contributors.,"open_bugs_at_release_repo_z (contribution=0.048): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.","first_time_contributor_share (contribution=0.038): Same signal as first_time_contributor_count, expressed as a share of all contributors.","Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk.",For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,See first_time_contributor_count recommendation.
333981785,apache/airflow,0.4987352467920979,High,"open_bugs_at_release_repo_z (contribution=0.043): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.","prior_releases_avg_bugs_repo_z (contribution=0.023): This repository's historical average post-release bug count (from releases whose own outcome was already known at this release's time), expressed relative to this repository's own typical level (repo-normalized, not a raw count).","first_time_contributor_share (contribution=0.014): Same signal as first_time_contributor_count, expressed as a share of all contributors.",For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"Review whether recent releases in this repository have been trending toward more or fewer post-release bugs; a persistently high historical average may warrant a broader process review, not just extra scrutiny on this one release.",See first_time_contributor_count recommendation.
334088828,apache/airflow,0.5021354790970279,High,"open_bugs_at_release_repo_z (contribution=0.040): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.","prior_releases_avg_bugs_repo_z (contribution=0.023): This repository's historical average post-release bug count (from releases whose own outcome was already known at this release's time), expressed relative to this repository's own typical level (repo-normalized, not a raw count).",first_time_contributor_count (contribution=0.014): This release involved an unusually high number of first-time contributors.,For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"Review whether recent releases in this repository have been trending toward more or fewer post-release bugs; a persistently high historical average may warrant a broader process review, not just extra scrutiny on this one release.","Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk."
234641159,microsoft/vscode,0.4632413128555824,High,"open_bugs_at_release_repo_z (contribution=0.068): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",commit_count (contribution=0.010): The volume of commits before this release is unusually high or low.,avg_time_to_merge_hours (contribution=0.005): Pull requests before this release merged unusually quickly or slowly on average.,For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"A very high commit count (a large release) may warrant proportionally more testing time; a very low count paired with elevated risk may indicate the release was small but touched a disproportionately risky area of the codebase -- review change scope, not just change volume.",Very fast merging paired with elevated risk may indicate reduced review scrutiny; consider a second reviewer pass on the highest-impact changes before shipping.
236028045,microsoft/vscode,0.46164636744373144,High,"open_bugs_at_release_repo_z (contribution=0.069): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",avg_time_to_merge_hours (contribution=0.005): Pull requests before this release merged unusually quickly or slowly on average.,commit_count (contribution=0.005): The volume of commits before this release is unusually high or low.,For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,Very fast merging paired with elevated risk may indicate reduced review scrutiny; consider a second reviewer pass on the highest-impact changes before shipping.,"A very high commit count (a large release) may warrant proportionally more testing time; a very low count paired with elevated risk may indicate the release was small but touched a disproportionately risky area of the codebase -- review change scope, not just change volume."
238393156,microsoft/vscode,0.46355576556099454,High,"open_bugs_at_release_repo_z (contribution=0.072): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",commit_count (contribution=0.016): The volume of commits before this release is unusually high or low.,avg_time_to_merge_hours (contribution=0.005): Pull requests before this release merged unusually quickly or slowly on average.,For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"A very high commit count (a large release) may warrant proportionally more testing time; a very low count paired with elevated risk may indicate the release was small but touched a disproportionately risky area of the codebase -- review change scope, not just change volume.",Very fast merging paired with elevated risk may indicate reduced review scrutiny; consider a second reviewer pass on the highest-impact changes before shipping.
239780431,microsoft/vscode,0.4658963226434469,High,"open_bugs_at_release_repo_z (contribution=0.073): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",commit_count (contribution=0.007): The volume of commits before this release is unusually high or low.,avg_time_to_merge_hours (contribution=0.006): Pull requests before this release merged unusually quickly or slowly on average.,For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"A very high commit count (a large release) may warrant proportionally more testing time; a very low count paired with elevated risk may indicate the release was small but touched a disproportionately risky area of the codebase -- review change scope, not just change volume.",Very fast merging paired with elevated risk may indicate reduced review scrutiny; consider a second reviewer pass on the highest-impact changes before shipping.
241618186,microsoft/vscode,0.46736281074787916,High,"open_bugs_at_release_repo_z (contribution=0.075): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",commit_count (contribution=0.012): The volume of commits before this release is unusually high or low.,avg_time_to_merge_hours (contribution=0.006): Pull requests before this release merged unusually quickly or slowly on average.,For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"A very high commit count (a large release) may warrant proportionally more testing time; a very low count paired with elevated risk may indicate the release was small but touched a disproportionately risky area of the codebase -- review change scope, not just change volume.",Very fast merging paired with elevated risk may indicate reduced review scrutiny; consider a second reviewer pass on the highest-impact changes before shipping.
246491048,microsoft/vscode,0.4826081359065321,High,"open_bugs_at_release_repo_z (contribution=0.080): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",commit_count (contribution=0.044): The volume of commits before this release is unusually high or low.,pr_count (contribution=0.011): The number of pull requests merged before this release is unusually high or low.,For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"A very high commit count (a large release) may warrant proportionally more testing time; a very low count paired with elevated risk may indicate the release was small but touched a disproportionately risky area of the codebase -- review change scope, not just change volume.",Consider whether review capacity kept pace with PR volume for this release cycle.
248155319,microsoft/vscode,0.46577847320445315,High,"open_bugs_at_release_repo_z (contribution=0.081): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",avg_time_to_merge_hours (contribution=0.006): Pull requests before this release merged unusually quickly or slowly on average.,"median_time_to_merge_hours (contribution=0.003): Same signal as avg_time_to_merge_hours, less sensitive to a few outlier PRs.",For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,Very fast merging paired with elevated risk may indicate reduced review scrutiny; consider a second reviewer pass on the highest-impact changes before shipping.,See avg_time_to_merge_hours recommendation.
250226077,microsoft/vscode,0.4730184604994126,High,"open_bugs_at_release_repo_z (contribution=0.083): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",avg_time_to_merge_hours (contribution=0.005): Pull requests before this release merged unusually quickly or slowly on average.,commit_count (contribution=0.004): The volume of commits before this release is unusually high or low.,For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,Very fast merging paired with elevated risk may indicate reduced review scrutiny; consider a second reviewer pass on the highest-impact changes before shipping.,"A very high commit count (a large release) may warrant proportionally more testing time; a very low count paired with elevated risk may indicate the release was small but touched a disproportionately risky area of the codebase -- review change scope, not just change volume."
251802178,microsoft/vscode,0.4676152745838546,High,"open_bugs_at_release_repo_z (contribution=0.084): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",commit_count (contribution=0.007): The volume of commits before this release is unusually high or low.,avg_time_to_merge_hours (contribution=0.006): Pull requests before this release merged unusually quickly or slowly on average.,For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"A very high commit count (a large release) may warrant proportionally more testing time; a very low count paired with elevated risk may indicate the release was small but touched a disproportionately risky area of the codebase -- review change scope, not just change volume.",Very fast merging paired with elevated risk may indicate reduced review scrutiny; consider a second reviewer pass on the highest-impact changes before shipping.
253418659,microsoft/vscode,0.4755390126029513,High,"open_bugs_at_release_repo_z (contribution=0.085): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",commit_count (contribution=0.010): The volume of commits before this release is unusually high or low.,avg_time_to_merge_hours (contribution=0.006): Pull requests before this release merged unusually quickly or slowly on average.,For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"A very high commit count (a large release) may warrant proportionally more testing time; a very low count paired with elevated risk may indicate the release was small but touched a disproportionately risky area of the codebase -- review change scope, not just change volume.",Very fast merging paired with elevated risk may indicate reduced review scrutiny; consider a second reviewer pass on the highest-impact changes before shipping.
254828317,microsoft/vscode,0.4688600355889165,High,"open_bugs_at_release_repo_z (contribution=0.086): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",avg_time_to_merge_hours (contribution=0.006): Pull requests before this release merged unusually quickly or slowly on average.,commit_count (contribution=0.003): The volume of commits before this release is unusually high or low.,For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,Very fast merging paired with elevated risk may indicate reduced review scrutiny; consider a second reviewer pass on the highest-impact changes before shipping.,"A very high commit count (a large release) may warrant proportionally more testing time; a very low count paired with elevated risk may indicate the release was small but touched a disproportionately risky area of the codebase -- review change scope, not just change volume."
